# rNd=10,rNd=20,rNd=30,rNd=40,rNd=50,rNd=60,rNd=70,rNd=80,rNd=90,rNd=100
7.142857142857143016e-01,6.428571428571427937e-01,5.357142857142856984e-01,4.761904761904761640e-01,5.142857142857142350e-01,8.452380952380952328e-01,8.285714285714285143e-01,8.452380952380952328e-01,7.142857142857143016e-01,9.285714285714286031e-01
7.142857142857143016e-01,5.178571428571427937e-01,6.071428571428572063e-01,6.190476190476190688e-01,8.285714285714285143e-01,7.857142857142856984e-01,7.619047619047618625e-01,8.452380952380952328e-01,8.452380952380952328e-01,1.000000000000000000e+00
4.142857142857142572e-01,4.142857142857142572e-01,6.857142857142857206e-01,8.452380952380952328e-01,7.571428571428571175e-01,6.785714285714286031e-01,7.619047619047618625e-01,7.142857142857143016e-01,7.571428571428571175e-01,9.285714285714286031e-01
6.428571428571427937e-01,6.428571428571427937e-01,7.857142857142856984e-01,7.142857142857143016e-01,6.071428571428572063e-01,6.785714285714286031e-01,6.904761904761904656e-01,6.904761904761904656e-01,9.285714285714286031e-01,4.428571428571428381e-01
5.357142857142856984e-01,4.642857142857143016e-01,6.428571428571427937e-01,7.857142857142856984e-01,7.142857142857143016e-01,6.904761904761904656e-01,7.857142857142856984e-01,8.285714285714285143e-01,8.285714285714285143e-01,7.619047619047618625e-01
4.523809523809523281e-01,7.142857142857143016e-01,4.428571428571428381e-01,5.892857142857143016e-01,6.428571428571427937e-01,8.452380952380952328e-01,7.857142857142856984e-01,8.452380952380952328e-01,7.571428571428571175e-01,8.452380952380952328e-01
3.809523809523809312e-01,7.142857142857143016e-01,6.142857142857143238e-01,7.142857142857143016e-01,7.142857142857143016e-01,6.428571428571427937e-01,7.619047619047618625e-01,7.619047619047618625e-01,7.857142857142856984e-01,8.452380952380952328e-01
7.142857142857143016e-01,6.428571428571427937e-01,7.142857142857143016e-01,5.357142857142856984e-01,6.190476190476190688e-01,6.607142857142856984e-01,8.285714285714285143e-01,8.571428571428572063e-01,8.452380952380952328e-01,8.571428571428572063e-01
6.428571428571427937e-01,6.190476190476190688e-01,4.642857142857143016e-01,6.428571428571427937e-01,7.571428571428571175e-01,7.142857142857143016e-01,7.321428571428572063e-01,9.166666666666667407e-01,8.452380952380952328e-01,9.285714285714286031e-01
7.142857142857143016e-01,6.428571428571427937e-01,5.892857142857143016e-01,7.142857142857143016e-01,4.642857142857143016e-01,5.142857142857142350e-01,7.619047619047618625e-01,6.904761904761904656e-01,9.166666666666667407e-01,7.321428571428572063e-01
7.142857142857143016e-01,5.952380952380952328e-01,4.642857142857143016e-01,5.357142857142856984e-01,8.285714285714285143e-01,5.857142857142856318e-01,7.619047619047618625e-01,7.857142857142856984e-01,1.000000000000000000e+00,9.166666666666667407e-01
4.142857142857142572e-01,5.357142857142856984e-01,6.428571428571427937e-01,6.428571428571427937e-01,6.857142857142857206e-01,7.738095238095238360e-01,6.904761904761904656e-01,1.000000000000000000e+00,7.619047619047618625e-01,7.571428571428571175e-01
3.928571428571428492e-01,6.428571428571427937e-01,6.071428571428572063e-01,7.142857142857143016e-01,4.428571428571428381e-01,7.142857142857143016e-01,9.166666666666667407e-01,7.857142857142856984e-01,9.166666666666667407e-01,9.285714285714286031e-01
3.428571428571428603e-01,3.428571428571428603e-01,4.642857142857143016e-01,7.142857142857143016e-01,5.892857142857143016e-01,7.857142857142856984e-01,8.285714285714285143e-01,8.452380952380952328e-01,8.452380952380952328e-01,7.571428571428571175e-01
7.142857142857143016e-01,4.428571428571428381e-01,3.928571428571428492e-01,6.607142857142856984e-01,7.142857142857143016e-01,7.738095238095238360e-01,6.428571428571427937e-01,6.571428571428571397e-01,8.333333333333332593e-01,8.333333333333332593e-01
4.428571428571428381e-01,5.892857142857143016e-01,4.142857142857142572e-01,4.142857142857142572e-01,6.428571428571427937e-01,7.738095238095238360e-01,8.452380952380952328e-01,8.571428571428572063e-01,9.166666666666667407e-01,8.333333333333332593e-01
5.357142857142856984e-01,4.761904761904761640e-01,7.857142857142856984e-01,6.428571428571427937e-01,7.142857142857143016e-01,7.571428571428571175e-01,5.476190476190475609e-01,6.904761904761904656e-01,6.428571428571427937e-01,9.166666666666667407e-01
6.428571428571427937e-01,5.357142857142856984e-01,6.428571428571427937e-01,6.428571428571427937e-01,7.738095238095238360e-01,5.857142857142856318e-01,5.892857142857143016e-01,9.166666666666667407e-01,1.000000000000000000e+00,8.333333333333332593e-01
4.642857142857143016e-01,6.904761904761904656e-01,6.428571428571427937e-01,6.428571428571427937e-01,7.619047619047618625e-01,7.619047619047618625e-01,8.571428571428572063e-01,6.904761904761904656e-01,8.452380952380952328e-01,6.904761904761904656e-01
4.142857142857142572e-01,6.428571428571427937e-01,5.142857142857142350e-01,6.428571428571427937e-01,6.857142857142857206e-01,7.619047619047618625e-01,8.452380952380952328e-01,8.452380952380952328e-01,8.571428571428572063e-01,9.166666666666667407e-01
7.142857142857143016e-01,6.571428571428571397e-01,6.428571428571427937e-01,6.428571428571427937e-01,7.857142857142856984e-01,7.738095238095238360e-01,1.000000000000000000e+00,9.285714285714286031e-01,9.166666666666667407e-01,9.166666666666667407e-01
7.142857142857143016e-01,4.142857142857142572e-01,5.357142857142856984e-01,7.857142857142856984e-01,7.571428571428571175e-01,8.571428571428572063e-01,7.571428571428571175e-01,7.857142857142856984e-01,8.333333333333332593e-01,8.285714285714285143e-01
6.428571428571427937e-01,7.857142857142856984e-01,7.857142857142856984e-01,6.857142857142857206e-01,7.857142857142856984e-01,6.904761904761904656e-01,6.904761904761904656e-01,7.857142857142856984e-01,9.285714285714286031e-01,6.904761904761904656e-01
4.142857142857142572e-01,3.928571428571428492e-01,7.142857142857143016e-01,6.857142857142857206e-01,7.619047619047618625e-01,7.571428571428571175e-01,8.452380952380952328e-01,1.000000000000000000e+00,9.285714285714286031e-01,8.333333333333332593e-01
4.142857142857142572e-01,6.428571428571427937e-01,6.428571428571427937e-01,5.357142857142856984e-01,7.857142857142856984e-01,6.428571428571427937e-01,7.857142857142856984e-01,6.904761904761904656e-01,7.571428571428571175e-01,9.285714285714286031e-01
7.142857142857143016e-01,7.857142857142856984e-01,7.142857142857143016e-01,4.428571428571428381e-01,4.761904761904761640e-01,6.142857142857143238e-01,8.571428571428572063e-01,7.857142857142856984e-01,1.000000000000000000e+00,8.571428571428572063e-01
4.642857142857143016e-01,4.642857142857143016e-01,7.142857142857143016e-01,7.857142857142856984e-01,6.071428571428572063e-01,7.738095238095238360e-01,5.357142857142856984e-01,6.857142857142857206e-01,1.000000000000000000e+00,8.452380952380952328e-01
4.761904761904761640e-01,6.428571428571427937e-01,6.904761904761904656e-01,6.607142857142856984e-01,4.428571428571428381e-01,7.142857142857143016e-01,6.571428571428571397e-01,6.571428571428571397e-01,8.452380952380952328e-01,7.571428571428571175e-01
3.928571428571428492e-01,7.142857142857143016e-01,6.071428571428572063e-01,7.571428571428571175e-01,6.857142857142857206e-01,6.428571428571427937e-01,5.428571428571429269e-01,6.857142857142857206e-01,7.142857142857143016e-01,7.571428571428571175e-01
6.428571428571427937e-01,4.642857142857143016e-01,4.142857142857142572e-01,5.857142857142856318e-01,7.571428571428571175e-01,7.285714285714285365e-01,7.619047619047618625e-01,8.571428571428572063e-01,5.178571428571427937e-01,7.619047619047618625e-01
3.809523809523809312e-01,6.428571428571427937e-01,6.190476190476190688e-01,7.142857142857143016e-01,8.452380952380952328e-01,7.857142857142856984e-01,7.571428571428571175e-01,7.738095238095238360e-01,7.738095238095238360e-01,7.619047619047618625e-01
7.142857142857143016e-01,4.142857142857142572e-01,5.857142857142856318e-01,6.428571428571427937e-01,7.738095238095238360e-01,7.857142857142856984e-01,7.619047619047618625e-01,6.571428571428571397e-01,8.571428571428572063e-01,8.333333333333332593e-01
3.809523809523809312e-01,6.428571428571427937e-01,6.428571428571427937e-01,5.178571428571427937e-01,7.142857142857143016e-01,8.571428571428572063e-01,8.452380952380952328e-01,9.285714285714286031e-01,5.892857142857143016e-01,6.607142857142856984e-01
3.809523809523809312e-01,5.476190476190475609e-01,6.785714285714286031e-01,7.619047619047618625e-01,7.142857142857143016e-01,6.428571428571427937e-01,7.321428571428572063e-01,7.321428571428572063e-01,7.619047619047618625e-01,8.285714285714285143e-01
4.857142857142857095e-01,4.761904761904761640e-01,6.607142857142856984e-01,6.571428571428571397e-01,7.857142857142856984e-01,7.619047619047618625e-01,7.857142857142856984e-01,7.571428571428571175e-01,8.571428571428572063e-01,8.571428571428572063e-01
7.142857142857143016e-01,7.857142857142856984e-01,5.178571428571427937e-01,6.428571428571427937e-01,6.785714285714286031e-01,8.285714285714285143e-01,7.857142857142856984e-01,7.738095238095238360e-01,8.452380952380952328e-01,8.452380952380952328e-01
5.857142857142856318e-01,5.476190476190475609e-01,5.357142857142856984e-01,5.892857142857143016e-01,4.857142857142857095e-01,6.428571428571427937e-01,7.619047619047618625e-01,5.857142857142856318e-01,8.452380952380952328e-01,4.428571428571428381e-01
7.142857142857143016e-01,5.857142857142856318e-01,4.142857142857142572e-01,4.642857142857143016e-01,6.904761904761904656e-01,8.571428571428572063e-01,8.452380952380952328e-01,7.738095238095238360e-01,9.166666666666667407e-01,8.571428571428572063e-01
3.928571428571428492e-01,6.071428571428572063e-01,5.892857142857143016e-01,5.857142857142856318e-01,6.071428571428572063e-01,6.904761904761904656e-01,8.452380952380952328e-01,7.619047619047618625e-01,9.166666666666667407e-01,8.571428571428572063e-01
3.428571428571428603e-01,7.142857142857143016e-01,3.928571428571428492e-01,7.571428571428571175e-01,6.904761904761904656e-01,6.904761904761904656e-01,9.166666666666667407e-01,8.571428571428572063e-01,6.904761904761904656e-01,7.738095238095238360e-01
4.523809523809523281e-01,5.357142857142856984e-01,6.428571428571427937e-01,6.071428571428572063e-01,6.142857142857143238e-01,8.571428571428572063e-01,6.190476190476190688e-01,7.738095238095238360e-01,8.571428571428572063e-01,7.571428571428571175e-01
6.428571428571427937e-01,6.071428571428572063e-01,6.428571428571427937e-01,7.023809523809523281e-01,5.428571428571429269e-01,5.476190476190475609e-01,6.071428571428572063e-01,9.166666666666667407e-01,7.571428571428571175e-01,7.571428571428571175e-01
3.428571428571428603e-01,6.142857142857143238e-01,6.428571428571427937e-01,6.428571428571427937e-01,7.142857142857143016e-01,7.857142857142856984e-01,8.333333333333332593e-01,7.619047619047618625e-01,7.142857142857143016e-01,8.285714285714285143e-01
7.142857142857143016e-01,5.857142857142856318e-01,6.785714285714286031e-01,4.761904761904761640e-01,8.333333333333332593e-01,7.619047619047618625e-01,9.166666666666667407e-01,7.321428571428572063e-01,7.738095238095238360e-01,9.285714285714286031e-01
7.142857142857143016e-01,3.928571428571428492e-01,5.892857142857143016e-01,6.428571428571427937e-01,7.571428571428571175e-01,6.571428571428571397e-01,6.904761904761904656e-01,8.452380952380952328e-01,9.285714285714286031e-01,9.285714285714286031e-01
3.428571428571428603e-01,6.071428571428572063e-01,4.142857142857142572e-01,5.142857142857142350e-01,7.619047619047618625e-01,6.904761904761904656e-01,5.142857142857142350e-01,6.428571428571427937e-01,9.285714285714286031e-01,1.000000000000000000e+00
6.428571428571427937e-01,3.928571428571428492e-01,6.428571428571427937e-01,7.738095238095238360e-01,7.857142857142856984e-01,8.452380952380952328e-01,8.452380952380952328e-01,8.285714285714285143e-01,1.000000000000000000e+00,7.619047619047618625e-01
4.142857142857142572e-01,4.857142857142857095e-01,5.476190476190475609e-01,6.904761904761904656e-01,6.428571428571427937e-01,6.428571428571427937e-01,7.619047619047618625e-01,9.166666666666667407e-01,6.428571428571427937e-01,8.452380952380952328e-01
4.523809523809523281e-01,5.357142857142856984e-01,5.357142857142856984e-01,6.428571428571427937e-01,7.142857142857143016e-01,9.166666666666667407e-01,8.452380952380952328e-01,7.321428571428572063e-01,7.738095238095238360e-01,9.166666666666667407e-01
3.809523809523809312e-01,3.928571428571428492e-01,4.642857142857143016e-01,7.738095238095238360e-01,8.285714285714285143e-01,8.571428571428572063e-01,7.571428571428571175e-01,7.619047619047618625e-01,7.619047619047618625e-01,8.571428571428572063e-01
6.428571428571427937e-01,6.428571428571427937e-01,7.857142857142856984e-01,4.642857142857143016e-01,9.166666666666667407e-01,7.142857142857143016e-01,7.857142857142856984e-01,8.452380952380952328e-01,7.738095238095238360e-01,9.285714285714286031e-01
5.357142857142856984e-01,7.023809523809523281e-01,6.428571428571427937e-01,6.785714285714286031e-01,9.166666666666667407e-01,8.452380952380952328e-01,5.857142857142856318e-01,8.571428571428572063e-01,6.071428571428572063e-01,9.166666666666667407e-01
7.142857142857143016e-01,3.928571428571428492e-01,6.571428571428571397e-01,8.571428571428572063e-01,5.142857142857142350e-01,8.571428571428572063e-01,6.857142857142857206e-01,7.142857142857143016e-01,8.452380952380952328e-01,9.166666666666667407e-01
3.928571428571428492e-01,7.142857142857143016e-01,4.142857142857142572e-01,7.142857142857143016e-01,7.857142857142856984e-01,8.452380952380952328e-01,7.619047619047618625e-01,7.857142857142856984e-01,7.321428571428572063e-01,7.738095238095238360e-01
7.142857142857143016e-01,6.428571428571427937e-01,7.142857142857143016e-01,5.476190476190475609e-01,6.571428571428571397e-01,7.857142857142856984e-01,8.571428571428572063e-01,6.904761904761904656e-01,5.428571428571429269e-01,1.000000000000000000e+00
5.142857142857142350e-01,3.928571428571428492e-01,7.857142857142856984e-01,4.142857142857142572e-01,6.785714285714286031e-01,7.857142857142856984e-01,8.452380952380952328e-01,8.452380952380952328e-01,8.452380952380952328e-01,9.285714285714286031e-01
4.761904761904761640e-01,7.142857142857143016e-01,5.571428571428571619e-01,8.452380952380952328e-01,6.190476190476190688e-01,6.857142857142857206e-01,6.857142857142857206e-01,7.571428571428571175e-01,9.166666666666667407e-01,9.166666666666667407e-01
7.142857142857143016e-01,5.476190476190475609e-01,6.785714285714286031e-01,7.619047619047618625e-01,6.857142857142857206e-01,7.857142857142856984e-01,5.857142857142856318e-01,7.857142857142856984e-01,8.571428571428572063e-01,7.857142857142856984e-01
7.142857142857143016e-01,5.892857142857143016e-01,5.476190476190475609e-01,6.904761904761904656e-01,7.142857142857143016e-01,4.642857142857143016e-01,7.285714285714285365e-01,8.452380952380952328e-01,8.333333333333332593e-01,6.607142857142856984e-01
